W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,close,change
0,0,2151,0,2012.106191,0,0,47260.91,0
53.385,5204.497,35511.118,-9312.9527,37626.27734,0,520.9,46535.43,0
261.268,0,3222.732,394.568,3251.952723,0,0,46604.39,1
3.087,495.333,10147.58,-1223.6467,9081.872679,-838.3,2722.375,46926.48,1
937.349,168.987,7421.664,1848.249,6139.709438,563.2,3384.3,47014.36,1
4494.393,3364.224,18425.1,4888.638,23475.46302,1486.715152,4566.339394,47007.57,0
1050.524,390.01,20012.466,2124.4031,19374.99829,8057,13938,47128.71,1
262.116,0,1366.884,771.3006,1500.159232,161.8,647.2,47192.37,1
0,19.152,270.848,-38.6973,268.873427,-34.2,17.1,46848.32,0
188.682,351.878,1878.44,86.7155,2227.850991,409.1851515,1157.219394,46839.5,0
146.73,0,4926.27,315.369,4690.326021,230.6568182,525.4227273,46932.67,1
0,0,1,0,0.920118809,0,0,46995.94,1
5554.733,0,9331.267,10798.1436,13495.60939,10916.65,3740.075,47171.38,1
9851.67,0,88895.33,19459.3811,92259.80914,39336.3,65792.4,47134.27,0
0.357,0.089,95.553,0.8074,84.80686891,0.432,0.301333333,47228.48,1
4411.192,228.984,29757.824,9593.4219,29722.28068,80.0625,1567.725,47654.2,1
0,124.618,416.382,-230.6084,349.5849175,-51.16666667,237.9666667,47536.62,0
118.04,0,3606.96,284.596,3215.086263,0,0,47457.72,0
0,539.426,3508.574,-1347.192,3488.811652,-526.7111111,978.1777778,47322.12,0
44.144,0,451.856,163.2336,332.2010727,0,0,47596.98,1
239.94,0,2726.06,394.568,2777.058785,0,0,48952,1
0,0.763,6.237,-2.072,6.073473454,0,0,48787.17,0
128.684,105.011,744270.305,107.9853,690791.1785,372069.9,372525.15,48767.94,0
0,0,1421,0,1187.976025,0,0,48747.33,0
0,0,10087,0,9379.386663,0,0,49158.59,1
2.772,0,916.228,8.2566,837.9988503,9.35,11,49051.47,0
21.652,0,10316.348,58.1631,9456.104443,100.6787879,2877.951515,49048.63,0
4.352,0,1297.648,1.6512,678.8380661,13.71428571,27.42857143,49459.03,1
2.75,1.05,636.2,6.871,572.569541,7.5,9.444444444,48790.08,0
29053.397,0,97832.603,73230.005,105359.9741,62610.82364,62953.51879,48803.3,1
189.356,7.697,2715.947,497.8476,2125.253019,242.2333333,518.3666667,48600.21,0
80.084,385.452,5572.464,-1122.7569,4302.994761,-1783.596875,3492.125,49066.19,1
0,0,48,0,38.61907196,6,10.4,48651.67,0
7154.117,0.374,20467.508,19727.7186,19495.29306,11528.89867,9424.001333,48764.35,1
327.055,185.913,5693.032,737.4144,5053.202767,896.7254545,2018.838182,48733.85,0
301.774,0,6498.226,401.6716,6401.6332,0,638.8,48941.46,1
384.058,91.938,5237.004,847.1249,3797.96778,481.25,1335.733333,48884.02,0
433.12,236.312,2541.568,540.776,2875.367716,462.7666667,688.5833333,49090.09,1
589.216,0,3716.784,1760.0408,3478.685823,1029.866667,1584.233333,48662.5,0
242.845,0,753.155,737.343,761.526397,431.3333333,664.2666667,48800,1
71.653,3.06,246.253,212.6708,272.5209916,126.6848485,216.0606061,48084.41,0
0,24.89,237.11,-71.5784,244.9248536,0,39.3,46973.13,0
166.694,0,5644.306,509.1808,5045.193935,176.5666667,597.0222222,47150,1
430.715,109.841,1665.443,869.2916,1788.16984,553.3986667,1222.056889,46888.12,0
113.832,57.872,489.296,242.9205,537.0977223,229.4,336.5,46799.95,0
234.954,26.384,4415.759,612.7239,3319.250898,10.86944444,58.71388889,46945.69,1
